Class,Date,Id,Name,TagBased,UserId
3,2011-06-21T20:16:48.910,1,Autobiographer,False,2
3,2011-06-21T20:16:48.910,2,Autobiographer,False,3
3,2011-06-21T20:16:48.910,3,Autobiographer,False,4
3,2011-06-21T20:21:49.157,4,Autobiographer,False,6
3,2011-06-21T20:21:49.157,5,Autobiographer,False,8
3,2011-06-21T20:21:49.157,6,Autobiographer,False,9
3,2011-06-21T20:21:49.173,7,Autobiographer,False,10
3,2011-06-21T20:21:49.173,8,Autobiographer,False,12
3,2011-06-21T20:21:49.173,9,Autobiographer,False,13
3,2011-06-21T20:21:49.173,10,Autobiographer,False,17
3,2011-06-21T20:26:49.073,11,Teacher,False,9
3,2011-06-21T20:26:49.167,12,Student,False,9
3,2011-06-21T20:26:49.183,13,Student,False,13
3,2011-06-21T20:26:49.263,14,Supporter,False,9
3,2011-06-21T20:26:49.263,15,Supporter,False,12
3,2011-06-21T20:26:49.277,16,Supporter,False,19
3,2011-06-21T20:26:49.277,17,Supporter,False,23
3,2011-06-21T20:26:49.323,18,Autobiographer,False,19
3,2011-06-21T20:26:49.323,19,Autobiographer,False,20
3,2011-06-21T20:26:49.323,20,Autobiographer,False,24
3,2011-06-21T20:26:49.323,21,Autobiographer,False,25
3,2011-06-21T20:26:49.340,22,Autobiographer,False,27
3,2011-06-21T20:31:49.133,23,Teacher,False,8
3,2011-06-21T20:31:49.210,24,Student,False,19
3,2011-06-21T20:31:49.243,25,Organizer,False,19
3,2011-06-21T20:31:49.273,26,Supporter,False,26
3,2011-06-21T20:31:49.290,27,Autobiographer,False,30
3,2011-06-21T20:36:48.910,28,Student,False,23
3,2011-06-21T20:36:49.003,29,Student,False,30
3,2011-06-21T20:36:49.050,30,Editor,False,9
3,2011-06-21T20:36:49.080,31,Supporter,False,10
3,2011-06-21T20:36:49.080,32,Supporter,False,30
3,2011-06-21T20:36:49.080,33,Supporter,False,33
3,2011-06-21T20:36:49.097,34,Autobiographer,False,33
3,2011-06-21T20:36:49.113,35,Autobiographer,False,35
3,2011-06-21T20:41:48.843,36,Teacher,False,26
3,2011-06-21T20:41:48.937,37,Teacher,False,30
3,2011-06-21T20:41:48.953,38,Teacher,False,33
3,2011-06-21T20:41:48.983,39,Teacher,False,35
3,2011-06-21T20:41:49.013,40,Student,False,10
3,2011-06-21T20:41:49.030,41,Student,False,22
3,2011-06-21T20:41:49.060,42,Student,False,24
3,2011-06-21T20:41:49.077,43,Student,False,26
3,2011-06-21T20:41:49.093,44,Student,False,27
3,2011-06-21T20:41:49.123,45,Editor,False,22
3,2011-06-21T20:41:49.170,46,Supporter,False,8
3,2011-06-21T20:41:49.170,47,Supporter,False,13
3,2011-06-21T20:41:49.170,48,Supporter,False,36
3,2011-06-21T20:41:49.187,49,Critic,False,30
3,2011-06-21T20:41:49.203,50,Autobiographer,False,36
3,2011-06-21T20:41:49.203,51,Autobiographer,False,37
3,2011-06-21T20:46:53.627,52,Teacher,False,19
3,2011-06-21T20:46:53.707,53,Teacher,False,23
3,2011-06-21T20:46:53.737,54,Student,False,8
3,2011-06-21T20:46:53.753,55,Student,False,28
3,2011-06-21T20:46:53.783,56,Student,False,34
3,2011-06-21T20:46:53.817,57,Editor,False,13
3,2011-06-21T20:46:53.847,58,Supporter,False,22
3,2011-06-21T20:46:53.847,59,Supporter,False,37
3,2011-06-21T20:46:53.863,60,Critic,False,9
3,2011-06-21T20:46:53.863,61,Critic,False,13
3,2011-06-21T20:46:53.877,62,Autobiographer,False,38
3,2011-06-21T20:46:53.877,63,Autobiographer,False,41
3,2011-06-21T20:46:53.893,64,Autobiographer,False,42
3,2011-06-21T20:51:53.657,65,Student,False,33
3,2011-06-21T20:51:53.750,66,Editor,False,8
3,2011-06-21T20:51:53.780,67,Supporter,False,11
3,2011-06-21T20:51:53.780,68,Supporter,False,34
3,2011-06-21T20:51:53.797,69,Supporter,False,42
3,2011-06-21T20:51:53.810,70,Autobiographer,False,44
3,2011-06-21T20:56:53.667,71,Organizer,False,8
3,2011-06-21T20:56:53.777,72,Supporter,False,46
3,2011-06-21T20:56:53.790,73,Autobiographer,False,46
3,2011-06-21T21:01:53.663,74,Teacher,False,46
3,2011-06-21T21:01:53.770,75,Editor,False,26
3,2011-06-21T21:01:53.803,76,Editor,False,30
3,2011-06-21T21:01:53.833,77,Organizer,False,26
3,2011-06-21T21:06:53.673,78,Teacher,False,11
3,2011-06-21T21:06:53.783,79,Teacher,False,40
3,2011-06-21T21:06:53.830,80,Supporter,False,28
3,2011-06-21T21:06:53.847,81,Autobiographer,False,47
3,2011-06-21T21:06:53.877,82,Suffrage,False,19
3,2011-06-21T21:11:53.683,83,Teacher,False,13
3,2011-06-21T21:11:53.810,84,Editor,False,10
3,2011-06-21T21:11:53.827,85,Editor,False,28
3,2011-06-21T21:11:53.873,86,Critic,False,19
3,2011-06-21T21:11:53.933,87,Vox Populi,False,19
3,2011-06-21T21:16:48.360,88,Precognitive,False,47
3,2011-06-21T21:16:48.767,89,Precognitive,False,42
3,2011-06-21T21:16:48.767,90,Precognitive,False,11
3,2011-06-21T21:16:48.783,91,Precognitive,False,43
3,2011-06-21T21:16:58.220,92,Editor,False,19
3,2011-06-21T21:16:58.250,93,Editor,False,34
3,2011-06-21T21:16:58.313,94,Autobiographer,False,48
3,2011-06-21T21:21:59.247,95,Teacher,False,34
3,2011-06-21T21:21:59.323,96,Autobiographer,False,49
3,2011-06-21T21:26:59.257,97,Teacher,False,48
3,2011-06-21T21:26:59.350,98,Supporter,False,51
3,2011-06-21T21:26:59.367,99,Autobiographer,False,51
3,2011-06-21T21:26:59.380,100,Scholar,False,19
3,2011-06-21T21:31:59.800,101,Teacher,False,22
3,2011-06-21T21:31:59.907,102,Supporter,False,49
3,2011-06-21T21:36:59.373,104,Editor,False,39
3,2011-06-21T21:36:59.497,105,Organizer,False,13
3,2011-06-21T21:36:59.530,106,Supporter,False,48
3,2011-06-21T21:36:59.530,107,Supporter,False,53
3,2011-06-21T21:36:59.543,108,Autobiographer,False,34
